Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_HT_mean_GPa,Young_Modulus_HT_ci_lower_GPa,Young_Modulus_HT_ci_upper_GPa,Enhancement_Factor
0.0000,0.0000,1.8000,1.8000,1.8000,0.5000
0.0158,1.5789,8.7574,7.0168,10.2594,2.4326
0.0316,3.1579,15.7433,12.2548,18.7442,4.3731
0.0474,4.7368,22.7579,17.5140,27.2546,6.3216
0.0632,6.3158,29.8014,22.7925,35.7907,8.2782
0.0789,7.8947,36.8741,28.0913,44.3526,10.2428
0.0947,9.4737,43.9762,33.4107,52.9404,12.2156
0.1105,11.0526,51.1077,38.7509,61.5543,14.1966
0.1263,12.6316,58.2691,44.1120,70.1982,16.1858
0.1421,14.2105,65.4604,49.4942,78.8994,18.1834
0.1579,15.7895,72.6819,54.8920,87.6350,20.1894
0.1737,17.3684,79.9338,60.2675,96.4052,22.2038
0.1895,18.9474,87.2163,65.6551,105.2101,24.2267
0.2053,20.5263,94.5297,71.0551,114.0500,26.2582
0.2211,22.1053,101.8742,76.4673,122.9251,28.2984
0.2368,23.6842,109.2499,81.8920,131.8357,30.3472
0.2526,25.2632,116.6572,87.3290,140.7819,32.4048
0.2684,26.8421,124.0963,92.7785,149.7639,34.4712
0.2842,28.4211,131.5674,98.2404,158.7821,36.5465
0.3000,30.0000,139.0707,103.7149,167.8365,38.6308
