Volume_Fraction,Volume_Fraction_Percent,Thermal_Conductivity_Carbon_Fiber_mean_WperMk,Thermal_Conductivity_Carbon_Fiber_ci_lower_WperMk,Thermal_Conductivity_Carbon_Fiber_ci_upper_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_mean_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_ci_lower_WperMk,Thermal_Conductivity_Graphene_Nanoplatelets_ci_upper_WperMk,Thermal_Conductivity_Glass_Fiber_mean_WperMk,Thermal_Conductivity_Glass_Fiber_ci_lower_WperMk,Thermal_Conductivity_Glass_Fiber_ci_upper_WperMk,Thermal_Conductivity_Carbon_Nanotubes_mean_WperMk,Thermal_Conductivity_Carbon_Nanotubes_ci_lower_WperMk,Thermal_Conductivity_Carbon_Nanotubes_ci_upper_WperMk
0.0000,0.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
0.0158,1.5789,0.3375,0.3291,0.3453,1.7940,1.5674,2.0108,0.2500,0.2500,0.2500,1.4063,1.2443,1.5637
0.0316,3.1579,0.4451,0.4246,0.4644,4.8082,4.0662,5.5424,0.2500,0.2500,0.2500,3.5338,3.0170,4.0440
0.0474,4.7368,0.5736,0.5372,0.6090,9.2973,7.7356,10.8359,0.2500,0.2500,0.2500,6.6515,5.5569,7.6956
0.0632,6.3158,0.7233,0.6647,0.7790,15.2725,12.5863,17.8714,0.2501,0.2500,0.2500,10.7198,8.9167,12.5190
0.0789,7.8947,0.8949,0.8114,0.9762,22.6652,18.6386,26.6116,0.2505,0.2500,0.2542,15.7921,13.0459,18.5459
0.0947,9.4737,1.0887,0.9724,1.2000,31.5770,25.9183,37.1336,0.2554,0.2500,0.2980,21.8263,17.9445,25.7134
0.1105,11.0526,1.3053,1.1541,1.4478,41.9078,34.1344,49.4698,0.2715,0.2500,0.3363,28.8683,23.5267,34.0399
0.1263,12.6316,1.5440,1.3574,1.7260,53.5735,43.6361,63.4428,0.2970,0.2500,0.3597,36.8131,30.1837,43.5646
0.1421,14.2105,1.8059,1.5702,2.0347,67.1215,54.7291,79.4769,0.3243,0.2516,0.3785,45.8367,37.3837,54.1410
0.1579,15.7895,2.0877,1.8046,2.3584,81.9981,66.7271,97.0882,0.3486,0.2764,0.3957,55.7209,45.4308,65.8327
0.1737,17.3684,2.3920,2.0532,2.7251,98.1886,79.5715,116.8368,0.3689,0.3017,0.4122,66.5945,54.1881,79.1044
0.1895,18.9474,2.7229,2.3276,3.1084,115.7771,94.2191,137.1914,0.3860,0.3267,0.4279,78.4149,63.7469,93.1555
0.2053,20.5263,3.0741,2.6233,3.5270,134.9522,109.2784,159.9670,0.4008,0.3491,0.4437,91.3741,73.8449,108.5376
0.2211,22.1053,3.4458,2.9276,3.9607,155.4441,125.8736,184.6240,0.4142,0.3651,0.4588,105.2937,85.3039,125.2452
0.2368,23.6842,3.8414,3.2449,4.4257,177.9642,143.6535,212.3081,0.4269,0.3767,0.4739,120.0786,97.1801,142.9392
0.2526,25.2632,4.2620,3.5976,4.9218,201.2096,162.5826,239.0995,0.4392,0.3867,0.4890,135.7304,109.7656,161.8053
0.2684,26.8421,4.7025,3.9359,5.4619,226.8504,183.6385,270.4024,0.4512,0.3957,0.5040,152.4795,123.1821,181.6145
0.2842,28.4211,5.1702,4.3331,6.0069,252.7784,204.9735,300.8688,0.4630,0.4045,0.5189,170.3828,138.1022,202.9480
0.3000,30.0000,5.6636,4.7404,6.6075,280.7466,225.7435,335.0933,0.4749,0.4131,0.5339,189.1077,153.1277,225.3876
